分区名称	死库容	死水位	低库容	低水位	中库容	中水位	高库容	高水位	超蓄库容	超蓄水位
蜀山平原区	0	0.0	1760	3.4	2100	3.7	2450	4.0	2683.333333333333	4.2
南沙平原区	0	0.0	3270	3.4	4340	3.7	5420	4.0	6140.0	4.2
绍虞平原区	0	0.0	21180	3.4	24480	3.7	27900	4.0	30180.0	4.2
虞北平原上河区	0	0.0	1644	2.5	1936	2.7	2543	3.1	2846.5	3.3
虞北平原中河区	0	0.0	485	2.1	534	2.3	635	2.6	702.3333333333333	2.8
余姚平原上河区	0	0.0	570	2.5	664	2.7	852	3.1	946.0	3.3
余姚平原下河区	0	0.0	2166	1.93	2515	2.13	3006	2.43	3333.333333333333	2.63
余姚平原马渚中河区	0	-0.5	2166	1.33	2515	1.43	3006	1.53	3987.999999999999	1.73
慈溪平原西河区	0	0.0	1878	2.13	2870	2.53	4109	2.93	4728.499999999999	3.13
慈溪平原中河区	0	-0.5	1702	1.63	2510	1.93	3182	2.13	3854.0	2.33
慈溪平原东河区	0	-0.5	1606	1.23	2813	1.63	3944	1.93	4698.0	2.13
丰惠平原区	0	0.0	370	3.3	460	3.6	550	3.9	610.0	4.1
余姚平原姚江上游区	0	-0.5	2166	0.93	2515	1.13	3006	1.33	3497.0	1.53
余姚平原姚江下游区	0	-0.5	2102	0.73	2206	0.93	2447	1.13	2688.0	1.33
江北镇海平原区	0	-0.5	506	0.73	925	1.13	1158	1.33	1391.0	1.53
海曙平原区	0	-0.5	1012	0.96	1409	1.36	1731	1.66	1945.666666666667	1.86
舟山大陆用水区	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
姚江沿线大工业用水区	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
鄞州调水区	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0
