TIME	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	姚江沿线大工业用水区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	海曙平原区	绍虞平原区	舟山大陆用水区	虞北平原上河区	虞北平原中河区	蜀山平原区	鄞州调水区	余姚平原马渚中河区
2025/06/15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/06/30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/07/30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
