TIME	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	姚江沿线大工业用水区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	海曙平原区	绍虞平原区	舟山大陆用水区	虞北平原上河区	虞北平原中河区	蜀山平原区	鄞州调水区	余姚平原马渚中河区
2025/06/15	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/16	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/17	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/18	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/19	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/20	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/21	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/22	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/23	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/24	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/25	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/26	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
2025/06/27	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	1.3	1.3	1.3	2.1	1.3	1.3	1.3	2.1	1.3	1.3
