作物	75% mm/d	90% mm/d
小麦	0.24880272574049025	0.3198892188092018
玉米	0.37498125093745316	0.48211875120529696
大豆	0.41664583437494795	0.5833041681249271
油菜	0.2375446838517803	0.3054145935237175
花生	0.3260706529890897	0.4564989141847256
马铃薯	0.4564989141847256	0.5869271753803615
棉花	0.8749562521873907	0.999950002499875
甘蔗	0.9999500024998751	1.3332666699998335
萝卜	0.9642375024105939	1.2856500032141251
大白菜	0.6249687515624219	0.8749562521873907
小白菜	1.3888194479164933	1.9443472270830906
芥菜	1.4999250037498126	2.249887505624719
西瓜	0.7499625018749063	0.9999500024998751
