 # 双季稻灌溉制度表

开始日期        结束日期        生长天数  蒸发系数  水位下限(mm)  设计蓄水位(mm)  水位上限(mm)
----------  ----------  ------  ----  --------  ---------  --------
2025/01/01  2025/02/28  59      0.5   -45.0     -25.0      0.0     
2025/03/01  2025/05/01  62      0.55  -45.0     -25.0      0.0     
2025/05/02  2025/05/06  5       1.0   20.0      40.0       80.0    
2025/05/07  2025/05/16  10      1.0   10.0      30.0       40.0    
2025/05/17  2025/06/05  20      1.2   10.0      30.0       40.0    
2025/06/06  2025/06/12  7       1.4   -20.0     0.0        0.0     
2025/06/13  2025/06/27  15      1.55  10.0      30.0       50.0    
2025/06/28  2025/07/07  10      1.45  10.0      30.0       50.0    
2025/07/08  2025/07/19  12      1.35  10.0      20.0       30.0    
2025/07/20  2025/07/29  10      1.15  0.0       20.0       30.0    
2025/07/30  2025/08/01  3       1.0   20.0      40.0       70.0    
2025/08/02  2025/08/11  10      1.0   20.0      40.0       50.0    
2025/08/12  2025/08/29  18      1.15  10.0      30.0       40.0    
2025/08/30  2025/09/03  5       1.4   -20.0     0.0        0.0     
2025/09/04  2025/09/25  22      1.45  20.0      40.0       60.0    
2025/09/26  2025/10/05  10      1.4   20.0      40.0       60.0    
2025/10/06  2025/10/15  10      1.2   0.0       20.0       30.0    
2025/10/16  2025/10/22  7       1.05  -10.0     10.0       20.0    
2025/10/23  2025/11/01  10      0.6   -50.0     -40.0      0.0     
2025/11/02  2026/01/01  61      0.5   -45.0     -25.0      0.0     
