分区名称	单季稻面积	双季稻面积	旱地面积	杂地面积	水面面积	平原面积	水田渗漏	旱地渗漏	春花种植比例	农田轮灌批次
丰惠平原区	38.019	27.414	55.1	24.2	12.4	118.8	2	2	0	10
余姚平原上河区	30.015	1.267	26.8	34.8	28.2	144.4	2	2	0	10
余姚平原下河区	22.611	21.277	37.9	70.2	20.5	201.3	2	2	0	10
余姚平原姚江上游区	31.349	9.005	27.2	95.2	13.6	182.0	2	2	0	10
余姚平原姚江下游区	25.946	10.939	23.0	40.9	11.9	122.5	2	2	0	10
南沙平原区	118.526	2.801	96.7	260.1	112.7	683.5	2	2	0	10
慈溪平原西河区	22.011	0.267	118.4	154.2	52.7	465.0	2	2	0	10
慈溪平原中河区	33.95	0.934	113.6	128.2	46.8	322.7	2	2	0	10
慈溪平原东河区	42.888	2.068	139.2	96.8	41.2	312.5	2	2	0	10
江北镇海平原区	31.616	16.542	59.6	159.7	22.5	302.9	2	2	0	10
绍虞平原区	99.05	41.221	228.7	409.0	173.0	991.6	2	2	0	10
虞北平原上河区	42.888	20.61	112.9	112.6	127.6	451.5	2	2	0	10
虞北平原中河区	2.468	4.202	12.5	7.4	5.4	34.5	2	2	0	10
蜀山平原区	5.469	0.133	61.1	141.8	24.7	248.4	2	2	0	10
余姚平原马渚中河区	4.202	5.736	23.4	5.2	3.8	39.2	2	2	0	10
