日期	蜀山平原区	南沙平原区	绍虞平原区	虞北平原上河区	虞北平原中河区	余姚平原上河区	余姚平原下河区	余姚平原马渚中河区	丰惠平原区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	余姚平原姚江上游区	余姚平原姚江下游区	江北镇海平原区	曹娥江江道	姚江江道
2025/05/14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025/05/26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
